run,testcase,mainmenu_name,mainmenu_upper,mainmenu_lower,submenu_name,submenu_upper,submenu_lower,item_name,item_lower,searchtext,expected
on,Fashion: Outerwear,Fashion,FASHION,fashion,Bob Mackie ,BOB MACKIE,bob mackie ,Outerwear,outerwear,Bob Mackie's Color-Block Herringbone Coat w/ Faux Fur Collar,5
on,Fashion: Accessories,Fashion,FASHION,fashion,Susan Graver ,SUSAN GRAVER ,susan graver ,Accessories,accessories,Susan Graver Adjustable Belt with Rhinestone Buckle,5
on ,Fashion: Sets ,Fashion,FASHION,fashion,Quacker Factory,QUACKER FACTORY,quacker factory,Sets,sets,Quacker Factory Summer Smiles Pearl T-Shirt & Bermuda Short Set,5
on,Gift Guide: Jewelry,Gift Guide,GIFT GUIDE,gift guide,Women,WOMEN,women,Jewelry,jewelry,LOGO Links by Lori Goldstein Cluster Pendant w/ Rolo Chain ,5
on,Gift Guide: Electronics,Gift Guide,GIFT GUIDE,gift guide,Kids,KIDS,kids,Electronics,electronics,Ion Audio Party Starter Bluetooth Speaker with Gift Box,5
on,Gift Guide: Electronics,Gift Guide,GIFT GUIDE,gift guide,Boys,BOYS,boys,Electronics,electronics,Discgear Set of 3 Portable 22 Disc Storage Cases,5
on,Gift Guide: Fashion,Gift Guide,GIFT GUIDE,gift guide,Girls,GIRLS,girls,Fashion,fashion,Bethany Mota Open Front Cocoon Cardigan with Fringe Detail,5
on,Gift Guide: Bakeware,Gift Guide,GIFT GUIDE,gift guide,Foodies,FOODIES,foodies,Bakeware,bakeware,Temp-tations Polka Dot 6-Piece Baking Set,5
on ,Gift Guide: Phones,Gift Guide,GIFT GUIDE,gift guide,Techies,TECHIES,techies ,Phones,phones,iRing Set of 2 Wearable Adhesive Phone Stand & Mount in Gift Boxes,5
on,Gift Guide: Plush,Gift Guide,GIFT GUIDE,gift guide,Toys,TOYS,toys,Plush,plush,When You're Happy & You Know It Animated Plush by Cuddle Barn,5
on,Gift Guide: Fashion,Gift Guide,GIFT GUIDE,gift guide,New Arrivals,NEW ARRIVALS ,new arrivals,Fashion ,fashion,Dennis Basso Reversible Faux Fur to Water Resistant Vest,5
on,Gift Guide: Health & Fitness,Gift Guide,GIFT GUIDE,gift guide,Best Sellers,BEST SELLERS,best sellers,Health & Fitness,health & fitness ,Sunbeam XL Massaging Heat Therapy Neck & Shoulder Wrap,5
on,Gift Guide: Shoes,Gift Guide,GIFT GUIDE,gift guide,Gift Sets ,GIFT SETS ,gift sets ,Shoes,shoes,Dennis Basso Set of 3 Faux Fur Boot Toppers,5
on,Shoes: Sandals,Shoes,SHOES,shoes,New Arrivals,NEW ARRIVALS ,new arrivals,Sandals,sandals,Crown by Born Meri Leather T-Strap Heeled Sandals,5
on,Shoes: Ankle,Shoes,SHOES,shoes,Boot Boutique,BOOT BOUTIQUE,boot boutique,Ankle,ankle,Earth Origins Suede Water Repellent Ankle Boots - Crowley,5
on,Shoes: Flats,Shoes,SHOES,shoes,Shoes,SHOES,shoes,Flats,flats,David Tate Lacey Ballerina Flats,5
on ,Shoes: Athletic,Shoes,SHOES,shoes,Sneakers,SNEAKERS,sneakers,Athletic,athletic,Dansko Suede & Mesh Lace-up Sneakers - Helen,5
on,Shoes: Boots,Shoes,SHOES,shoes,Aerosoles,AEROSOLES,aerosoles,Boots,boots,Aerosoles Stitch 'N Turn Ankle Boots - Nonchalant,5
on ,Shoes: Children's Shoes,Shoes,SHOES,shoes,Skechers,SKECHERS,skechers,Children's Shoes,children's shoes,Skechers Girls Twinkle Toes Shuffles Sweet Steps Sneakers,5
on,Shoes: Sandals,Shoes,SHOES,shoes,Easy Street ,EASY STREET,easy street,Sandals,sandals,Easy Street Sport Suede Sport Thong Sandals - Surfer,5
on,Handbags: Luggage,Handbags,HANDBAGS,handbags,New Arrivals,NEW ARRIVALS ,new arrivals,Luggage,luggage,MyPillow Set of 2 Travel Pillows with RollNGo Pillow Cases,5
on,Handbags: Wallet & Cases,Handbags,HANDBAGS,handbags,Clearance,CLEARANCE,clearance,Wallet & Cases,wallet & cases,"Dooney & Bourke Carley Credit Card Phone Wristlet
",5
on,Handbags: Handbags,Handbags,HANDBAGS,handbags,Contemporary,CONTEMPORARY,contemporary,Handbags,handbags,G.I.L.I. with HALOGUARD Leather RFID Pouch,5
on,Handbags: Luggage,Handbags,HANDBAGS,handbags,Lug,LUG,lug,Luggage,luggage,Lug UCB Blanket & Pillow Set,5
on,Handbags: Handbags,Handbags,HANDBAGS,handbags,Vera Bradley,VERA BRADLEY,vera bradley,Handbags,handbags,Vera Bradley Signature Print Buckle Handle Tote with Trim Detail,5
on,Jewelry: Charms,Jewelry,JEWELRY,jewelry,Jewelry Gifts,JEWELRY GIFTS,jewelry gifts,Charms,charms,Prerogatives Sterling Keys Dangle Bead,5
on,Jewelry: Earrings,Jewelry,JEWELRY,jewelry,New Arrivals,NEW ARRIVALS ,new arrivals,Earrings,earrings,"Stainless Steel Set of 3 Omega Back Hoop Earrings,_with Gift Pouches",5
on,Jewelry: Fashion Pins,Jewelry,JEWELRY,jewelry,Pins,PINS,pins,Fashion Pins,fashion pins ,Linea by Louis Dell'Olio Pave' Simulated Pearl Pin,5
on,Jewelry: Fine Rings,Jewelry,JEWELRY,jewelry,Rings,RINGS,rings,Fine Rings,fine rings,"Cluster Halo Design Diamond Ring, 14K 1.00 cttw by Affinity",5
on,Jewelry: Women's,Jewelry,JEWELRY,jewelry,Watches,WATCHES,watches,Women's,women's,Isaac Mizrahi Live! Ceramic & Stainless Steel Watch,5
on,Jewelry: Pendants,Jewelry,JEWELRY,jewelry,Diamond,DIAMOND,diamond,Pendants,pendants,"Guardian Angel Cross Pendant w Chain, Sterling 1/5 cttw, by Affinity",5
on,Jewelry: Necklaces,Jewelry,JEWELRY,jewelry,Sterling Silver,STERLING SILVER,sterling silver,Necklaces,necklaces,Gemstone Sterling Silver Adjustable Drop Necklace 0.85 cttw,5
on,Jewelry: Rings,Jewelry,JEWELRY,jewelry,Titanium,TITANIUM,titanium,Rings,rings,Titanium Flat 5mm Polished Ring,5
on,Jewelry: Ankle Bracelets,Jewelry,JEWELRY,jewelry,Barbara Bixby ,BARBARA BIXBY,barbara bixby,Ankle Bracelets ,ankle bracelets ,Barbara Bixby Eastern Chain 11 inch Anklet Sterling/18K,5
on,Jewelry: Accessories,Jewelry,JEWELRY,jewelry,Honora,HONORA,honora,Accessories,accessories,Honora Stainless Steel Necklace Shortener,5
on,Jewelry: Earrings,Jewelry,JEWELRY,jewelry,EternaGold,ETERNAGOLD,eternagold,Earrings,earrings,"EternaGold 1-1/8 inch Bold Polished Hoop Earrings,14K Gold",5
on,Beauty: Eyes,Beauty,BEAUTY,beauty,Makeup Deals ,MAKEUP DEALS ,makeup deals,Eyes,Eyes,tarte Gifted Amazonian Clay Smart Mascara Trio,5
on,Beauty: Face Care,Beauty,BEAUTY,beauty,Beauty Tools ,BEAUTY TOOLS,beauty tools,Face Care,face care,NuFACE Mini At-Home Microcurrent Facial Toning Device,5
on,Beauty: Kits,Beauty,BEAUTY,beauty,Skin Care ,SKIN CARE ,skin care ,Kits,kits,philosophy miracles for me & you 4-piece skin care set,5
on,Beauty: Beauty,Beauty,BEAUTY,beauty,Value Kits,VALUE KITS,value kits,Beauty,beauty,Mally Undermakeup Perfector Duo,5
on,Beauty: Fragrance,Beauty,BEAUTY,beauty,Super Sizes,SUPER SIZES,super sizes,Fragrance,fragrance,philosophy fresh cream supersize edt spray Auto-Delivery,5
on,Beauty: Bath & Body,Beauty,BEAUTY,beauty,Clarisonic,CLARISONIC,clarisonic,Bath & Body,bath & body,Clarisonic Pedi-Balm Sonic Foot Softening Treatment,5
on,Beauty: Makeup,Beauty,BEAUTY,beauty,Laura Geller ,LAURA GELLER ,laura geller ,Makeup,makeup,Laura Geller Merry & Bright 9-piece Holiday Train Case,5
on,Electronics:Karaoke,Electronics,ELECTRONICS,electronics,Audio,AUDIO,audio,Karaoke,karaoke ,SingTrix Karaoke Machine w/ Auto Tuning & Sound Effects,5
on,Electronics: Desktops ,Electronics,ELECTRONICS,electronics,Computers,COMPUTERS,computers,Desktops,desktops ,"Apple Mac Mini - Core i5, 4GB, 500GB HDD with S oftware & More",5
on,Electronics: HDTVs,Electronics,ELECTRONICS,electronics,Televisions,TELEVISIONS,televisions,HDTVs,hdtvs,Seiki 50 inch Diag. 1080p LED Streaming TV w/ 3 HDMI Inputs,5
on,Electronics: Systems ,Electronics,ELECTRONICS,electronics,Xbox,XBOX,xbox,Systems,systems,Xbox One 500GB Gears of War Bundle w/ Rare of Replay & App Package,5
on,Electronics: Computers,Electronics,ELECTRONICS,electronics,Apple ,APPLE ,apple ,Computers,computers,"Apple iPad Air 16GB WiFi ScreenProtector Keyboard,Pillow Stand & Tech",5
on,Electronics: Home Office,Electronics,ELECTRONICS,electronics,Dell,DELL,dell,Home Office ,home office ,Dell 23 inch Diagonal Touchscreen LED Monitor,5
on,Kitchen & Food: Kettles,Kitchen & Food,KITCHEN & FOOD,kitchen & food ,Cookware,COOKWARE,cookware,Kettles,ketteles,KitchenAid 2-qt Porcelain Enamel Kettle,5
on,Kitchen & Food: Bakeware,Kitchen & Food,KITCHEN & FOOD,kitchen & food ,Circulon,CIRCULON,circulon,Bakeware,bakeware, Circulon Bakeware 9 inch Round Cake Pan,5
on,Kitchen & Food: Lobster,Kitchen & Food,KITCHEN & FOOD,kitchen & food ,Seafood,SEAFOOD,seafood,Lobster,lobster,Stone Silo 18 3-oz Lobster & Shrimp Cakes,5
on,Kitchen & Food: Cake Pans,Kitchen & Food,KITCHEN & FOOD,kitchen & food ,Bakeware,BAKEWARE,bakeware,Cake Pans,cake pans,Nordic Ware Rectangle Cake Pan,5
on,Kitchen & Food: Coffee,Kitchen & Food,KITCHEN & FOOD,kitchen & food ,"Coffee, Tea & More","COFFEE, TEA & MORE","coffee, tea & more",Coffee,coffee,Starbucks Verismo House Blend Coffee Pods - 72-pc,5
on,Health & Fitness: Activewear,Health & Fitness,HEALTH & FITNESS,health & fitness,Activewear,ACTIVEWEAR,activewear,Activewear,activewear, cee bee CHERYL BURKE Long Sleeve Pointelle Top,5
on,Health & Fitness: Blenders,Health & Fitness,HEALTH & FITNESS,health & fitness,Blenders & Juicers,BLENDERS & JUICERS,Blenders & Juicers,Blenders,blenders,KitchenAid Two-Speed Hand Blender,5
on,Health & Fitness: Juicers,Health & Fitness,HEALTH & FITNESS,health & fitness,Blenders & Juicers,BLENDERS & JUICERS,Blenders & Juicers,Juicers,juicers,Omega Square Ultra-Low Speed Masticating HD Juicer,5
on,Health & Fitness: Massagers,Health & Fitness,HEALTH & FITNESS,health & fitness,Personal Care,PERSONAL  CARE,personal care,Massagers,massagers, Thera Cane Max Deep Pressure Handheld Massager with DVD,5
on,Health & Fitness: Massagers,Health & Fitness,HEALTH & FITNESS,health & fitness,Sunbeam,SUNBEAM,sunbeam,Massagers,massagers,Sunbeam XL Massaging Heat Therapy Neck & Shoulder Wrap,5
on,Health & Fitness: Pain Relief,Health & Fitness,HEALTH & FITNESS,health & fitness,Sunbeam,SUNBEAM,sunbeam,Pain Relief,pain relief,Sunbeam XpressHeat X-Large Heating Pad,5
on,Health & Fitness: Personal Care ,Health & Fitness,HEALTH & FITNESS,health & fitness,Fitbit,FITBIT,fitbit ,Personal Care,personal care,Fitbit Aria WiFi Smart Scale,5
on,Beauty: Kits,Beauty,BEAUTY,beauty,Hair Care,HAIR CARE ,hair care ,Kits,kits,WEN by Chaz Dean On the Go Finishing Touch Collection,5
on,Beauty: Makeup,Beauty,BEAUTY,beauty,New Arrivals,NEW ARRIVALS ,new arrivals,Makeup,makeup,Perricone MD No Makeup Skincare Holiday Glow Collection,5
on,Beauty: Skin Care,Beauty,BEAUTY,beauty,Mally Beauty,MALLY BEAUTY,mally beauty,Skin Care,skin care ,Mally Beauty Eye Gel Applicator,5
on ,Beauty: Makeup,Beauty,BEAUTY,beauty,Bobbi Brown ,BOBBI BROWN,bobbi brown,Makeup,makeup,Bobbi Brown Brow Kit,5
on,Electronics: Calculators,Electronics,ELECTRONICS,electronics,Home Office,HOME OFFICE ,home office ,Calculators,calculators,Impecca Bamboo Calculator,5
on,Electronics: Audio,Electronics,ELECTRONICS,electronics,Bose,BOSE,bose,Audio,audio,Bose SoundTouch 10 Series Wireless Music System,5
on,Shoes: Tall,Shoes,SHOES,shoes,Boots,BOOTS ,boots,Tall,tall,Isaac Mizrahi Live! Medium Calf Leather Riding Boots,5
on,Shoes: Thong,Shoes,SHOES,shoes,Sandals,SANDALS ,sandals,Thong,thong,Showaflops Flip Flops Shower Sandal,5
on,Shoes: Boots,Shoes,SHOES,shoes,Clarks,CLARKS,clarks,Boots,boots,Clarks Artisan Leather Tall Shaft Boots Mullin Spice,5
on,Shoes: Shoes,Shoes,SHOES,shoes,Dansko,DANSKO,dansko,Shoes,shoes,Dansko Professional Embroidered Stain Resistant Clogs,5
on ,Jewelry: Fine Beads,Jewelry,JEWELRY,jewelry,Charms,CHARMS,charms ,Fine Beads,fine beads,Prerogatives Sterling Hinged Clip Bead,5
on ,Jewelry: Fine Necklaces,Jewelry,JEWELRY,jewelry,Necklaces,NECKLACES,necklaces,Fine Necklaces,fine necklaces,LOGO Links by Lori Goldstein Cabochon and Teardrop Collar Necklace,5
on ,Jewelry: Earrings,Jewelry,JEWELRY,jewelry,Bronze,BRONZE,bronze,Earrings,earrings,Honora Cultured Pearl 10.0mm Baroque Bronze Nugget Drop Earrings,5
on ,Jewelry: Accessories,Jewelry,JEWELRY,jewelry,Steel,STEEL,steel,Accessories,accessories,Forza Black and Gray Cuff Links,5
on ,Jewelry: Rings,Jewelry,JEWELRY,jewelry,American West,AMERICAN WEST,american west,Rings,rings,Turquoise Rope Design Sterling Silver Ring by American West,5
on ,Jewelry: Watches,Jewelry,JEWELRY,jewelry,Carolyn Pollack,CAROLYN POLLACK ,carolyn pollack,Watches,watches ,Carolyn Pollack Sleeping Beauty Turquoise Sterling Watch,5
on ,Fashion: Outerwear,Fashion,FASHION,fashion,Dennis Basso,DENNIS BASSO,dennis basso,Outerwear,outerwear,Dennis Basso Faux Fur Animal Print Blazer,5
