run,testcase,mainmenu,searchtext,expected
on,Jewelery: Bridal Jewelry,Jewelery,premier diamond ring,5
on,Jewelery: Bronze,Jewelery,Bronze Pave' Crystal Tubogas Cuff Bracelet by Bronzo Italia,5
on,Jewelery: Diamonique,Jewelery,Diamonique Estate Ring,5
on,Jewelery: pearl,Jewelery,Pearl Sterling Drop Earrings,5
on,Jewelery: Titanium,Jewelery,Titanium Polished Ring,5
on ,Jewelery: Affinity Diamond Jewelry ,Jewelery,Cluster Halo Design Diamond Ring affinity,5
on,jewelery: Michael Dawkins ,Jewelery,Michael Dawkins Sterling Drop Earrings,5
on,jewelery: EternaGold,Jewelery,EternaGold Basket Weave Bangle 14K Gold,5
on,jewelery: Barbara Bixby,Jewelery,Barbara Bixby Textured Link Necklace,5
on ,Beauty: Beauty Tools,Beauty,Clarisonic Mia Sonic Cleansing System,5
on ,Beauty: Hair Styling Tools,Beauty,CHI Smart Titanium Ceramic ,5
on ,Beauty: Nail Care,Beauty,Perfect Formula Pink Gel Coat & Gel Coat Color,5
on ,Beauty: What's New,Beauty,Perfect Formula Set of 6 Pink Gel Coat & Gel Coat ,5
on ,Beauty: Award Winners,Beauty,philosophy when hope is not enough serum,5
on ,Beauty: TATCHA,Beauty,TATCHA Supple Moisture Silk Cream ,5
on ,Beauty: Bobbi Brown,Beauty,Bobbi Brown Long-Wear ,5
on ,Beauty: Kat Von D Beauty,Beauty,Kat Von D Shade + Light ,5
on ,Beauty: Perricone MD,Beauty,Perricone MD Neuropeptide Facial Cream,5
on,Electronics: computers,Electronics,"Apple MacBook Airclip Case, Keyboard Accessories & Tech Support",5
on,Electronics: Cameras & Camcorders,Electronics,Canon EOS Rebel camera,5
on,Electronics: Phones,Electronics,"Apple iPhone  - 16GB, 4G LTE Unlocke GSM Cell Phone",5
on,Electronics: Video Games,Electronics,Xbox One 500gb Gears of War Bundle,5
on,Electronics: PlayStation,Electronics,Sony PS4 500GB Uncharted Collection Bundle ,5
on,Electronics: TracFone,Electronics,Samsung Galaxy Prepaid Android Tracfone with 1200 Minutes,5
on,Electronics: Wearable Technology,Electronics,Fitbit Charge Wireless Activity Tracker,5
on,Electronics: Acer,Electronics,Acer Laptop Windows Lifetime,5
on,Electronics: Sharp,Electronics,sharp ultra Smart TV,5
on,For the Home: Bath,Home,Watershed ShowerCurtain,5
on,For the Home: Indoor Lighting,Home,Tiffany Style Accent Lamp,5
on,For the Home: Vacuums & Cleaning,Home,Dyson Vacuum Attachments,5
on,For the Home: Toys,Home,Star Wars Photomosaics puzzle,5
on,For the Home: Luminara,Home, Flameless Candles with Timer,5
on,For the Home: Shark,Home,Shark Rocket Upright Vacuum,5
on,For the Home: Berkshire Blanket,Home,Berkshire Blanket Throw,5
on,For the Home: Lori Greiner,Home,ChordBuddy Fast & EZ Guitar Learning System Lori Greiner,5
on,For the Home: Serta,Home,Serta Perfect Sleeper Private Luxury 12.5,5
on,Kitchen & Food: cookware ,Kitchen & Food,Rachael Ray cookware set,5
on,Kitchen & Food: Kitchen Tools,Kitchen & Food,CooksEssentials Ratchet ,5
on,Kitchen & Food: Tabletop Essentials,Kitchen & Food,Temp-tations Set ,5
on,Kitchen & Food: Sweets & Baked Goods,Kitchen & Food,Sh12/7 Junior's Mini Chocolate Christmas Cake,5
on,Kitchen & Food: KitchenAid,Kitchen & Food,KitchenAid Stand Mixer,5
on,Kitchen & Food: FoodSaver,Kitchen & Food,FoodSaver Compact Vacuum Sealer with ,5
on,Kitchen & Food: Vitamix,Kitchen & Food,Vitamix Creations Speed Blender Dry ,5
on,Kitchen & Food: Ninja,Kitchen & Food,Ninja Blender,5
on ,Health & Fitness: Vitamins & Supplements,Health,Nature's Code ONE Auto-Delivery,5
on ,Health & Fitness: Garmin,Health,Garmin Fitness Watch Heart Rate Monitor ,5
on ,Health & Fitness: Personal care,Health,Sunbeam Renue Shoulders,5
on,clearence: Jewelry,Clearance,VicenzaSilver Sterling Bold Diamond Cut ,5
on,Clearence: Fashion,Clearance,Bob Mackie's,5
on,Clearence: Shoes,Clearance,Isaac Mizrahi Live! Leather ,5
on,Clearence: Bags,Clearance,Dooney & Bourke Embossed Pebble Leather,5
on,Clearence: Bronzo Italia Clearence,Clearance,Bronze Polished  Ring by Bronzo Italia,5
on,Holiday d_cor: Candels,Holiday,Luminara Set of Flameless Candles with Timer,5
on,Holiday d_cor: Lights,Holiday,Bethlehem Lights Light Strand,5
on,Holiday d_cor: Kringle Express,Holiday,Kringle Express Christmas ,5
on,Holiday d_cor: Vickerman,Holiday,Prelit Mixed Country Pine Tree by Vickerman,5
on,Holiday d_cor: Candle Impressions,Holiday,Candle Impressions Flameless Candle,5
on,Holiday d_cor: Lenox,Holiday,Lenox Set Plated Ornaments with Gift Boxes,5
on,Toys: Dolls,Toys,Disney's Frozen me Elsa,5
on,Toys: Magformers,Toys,Magformers Magnetic set,5
on,Toys: nanoblock,Toys,nanoblock Building Block Set,5
on,Toys: Twister Trax,Toys,Twister Trax Glow Track & Accessory Set,5
on,Toys: poof,Toys,Scientific Explorer kit,5
on,Pro football shop: Arizona cardinals,Pro Football Shop,Honora NFL Stainless Earrings,5
on ,Pro football shop: Buffalo bills,Pro Football Shop,Honora NFL Stainless Earrings,5
on ,Pro football shop: Houston texans,Pro Football Shop,Honora Cultured Pearl Necklace,5
on ,Pro football shop: jewelry,Pro Football Shop,Honora NFL Stainless Cultured Pearl,5
on ,Pro football shop: tennessee,Pro Football Shop,NFL Sterling chain,5
on ,Pro football shop: apparel,Pro Football Shop,NFL Dallas Cowboys hoodie,5
